State Name,Constituency,Candidate Name,Gender,Age,Category,Party,Party Symbol,Total_Votes_Polled,Votes_Secured,Pct_of_Polled,Pct_of_Valid,Votes_Secured_fill,Winner_Name,Winner_Party,Winner_Votes,RunnerUp_Votes,Winning_Margin,Is_Winner,YEAR
Madhya Pradesh,Gorakhpur,RAMENDRA REANG_QHS,FEMALE,28,ST,BRRTD,Spade & stoker,1269390,3152,0.23,0.03,596955,SUDHEER GUPTA,NCP,587413,505949,111975,FALSE,2024
Tamil Nadu,Chikkballapur,MAHENDRA_VBN,THIRD,33,GENERAL,PBLBRP,Typewriter,1055114,92879,0.12,0.1,1490,SELVAM. G,JD(S),566085,401530,277083,FALSE,2019
Assam,VIDISHA,RAJEEV KUMAR SAXENA_JVB,FEMALE,48,ST,BHAJASP,Bench,1260679,709,0.26,1.16,4700,ARVIND DHARMAPURI,SKM,658915,433821,271183,FALSE,2024
Dadra & Nagar Haveli and Daman & Diu,KORBA,BALAKRISHNAN P_ZVT,THIRD,71,BL,SMJSNGP,Clip,1212085,32955,0.02,0.06,272,ANUP SANJAY DHOTRE,CPI(M),506678,458897,91451,FALSE,2014
Maharashtra,Chandrapur,SUBHASH SHUKLA_FTA,THIRD,44,GENERAL,BED,Window,1327619,907,0.09,0.18,1073,SAYANI GHOSH,ZPM,255181,457051,197120,FALSE,2014
Chhattisgarh,Nagaon,AMARSING TISSO_HGO,MALE,45,GENERAL,LSWP,Cot,1420227,185474,48.1,0.32,633,KARAN BHUSHAN SINGH,SAD,809882,467282,21300,FALSE,2004
Dadra & Nagar Haveli and Daman & Diu,Madhubani,COMRADE SURENDRA SIBAG_LXJ,FEMALE,46,SC,AISF,Robot,898111,30662,0.37,53.99,2429,JASHUBHAI BHILUBHAI RATHVA,JKN,600146,283023,225945,FALSE,2014
Meghalaya,Lucknow,BALAKRISHNA.M._TUZ,THIRD,66,ST,ESBD,Telephone,947386,1969,22.35,0.61,2764,DHAVAL LAXMANBHAI PATEL,NCPSP,516496,361079,66121,FALSE,2014
Odisha,Muzaffarpur,LOVELY ANAND_ZUX,FEMALE,67,BL,JHUP,Dumbbells,1100005,441,0.31,46.4,423068,NARESH GANPAT MHASKE,RSP,412338,467282,166816,FALSE,2009
Uttarakhand,Jalgaon,ANIL JAYRAM RATHOD_UNH,MALE,70,ST,RPIB,Battery Torch,1081028,324,0.03,0.16,214153,DR. VIRENDRA KUMAR,IND,450937,214880,339222,FALSE,2014
Tripura,Barabanki,AMANSHER SINGH (SHERY KALSI)_CTI,THIRD,49,ST,RAJUP,Trumpet,1603233,563,39.34,54.43,8347,ABHAY KUMAR SINHA,SHSUBT,567127,368090,71210,FALSE,2009
Telangana,INDORE,SAIF KHAN_VFF,MALE,44,SC,RPI(A),Neck tie,1170653,432078,0.1,0.05,2502,DR RAJKUMAR SANGWAN,KEC,991042,586500,225209,FALSE,2024
Andhra Pradesh,Nalanda,HARI. R._ORL,FEMALE,39,SC,AINRS,Bricks,2458780,543037,0.05,0.33,477,DHARMENDRA YADAV,ASPKR,571666,295052,22527,FALSE,2004
Andhra Pradesh,Patiala,ANINDITA DAS_QZY,THIRD,42,BL,AMGRDMK,Football,449383,1210,0.33,1.95,981,ABDUL RASHID SHEIKH,UPPL,42523,285237,161131,FALSE,2009
Dadra & Nagar Haveli and Daman & Diu,Raichur,MAHESH GORNALKAR_YQZ,MALE,36,BL,JD(U),Lotus,1213696,19892,0.14,0.41,1698,SMITA UDAY WAGH,JKN,217836,656241,222351,FALSE,2004
Lakshadweep,Bareilly,IRFAN ALI_PEU,FEMALE,47,SC,BJNP,Bicycle pump,1144956,90220,1.09,0.13,97672,RADHESHYAM RATHIYA,INC,465567,301282,406426,FALSE,2019
Uttarakhand,Faridkot,SAMAY SINGH_OOV,FEMALE,59,ST,RJ,Saw,1250052,2282,1.29,0.06,7043,SHATRUGHAN PRASAD SINHA,DMK,458398,636985,37508,FALSE,2009
Uttarakhand,TIRUVALLUR,PRADEEP KUMAR MAJHI_TVW,MALE,40,GENERAL,TPSTP,Brick,1282443,1891,0.27,3.46,14941,KESINENI SIVANATH (CHINNI),JKN,426005,619867,277083,FALSE,2014
Bihar,RAJGARH,ABDUL RAIS AHEMAD_TSL,THIRD,40,GENERAL,RGD,Table,1133390,5802,0.12,0.94,447,DELKAR KALABEN MOHANBHAI,VCK,571666,464140,199013,FALSE,2024
Himachal Pradesh,Hindupur,INDRAJEET D GOND_YWR,FEMALE,71,ST,RSSDP,Vacuum cleaner,1068949,2019,3.98,9.21,179839,DEEPENDER SINGH HOODA,VOTPP,542213,447469,188416,FALSE,2019
Madhya Pradesh,Dadar & Nagar Haveli,SHABAREESH._BSE,FEMALE,54,BL,RRP,Phone charger,1377691,819,0.06,0.09,301504,MUHAMMED HAMDULLAH SAYEED,AIMIM,690316,343158,33199,FALSE,2019
Chhattisgarh,RAJNANDGAON,RAMESH JIGAJINAGI_FPC,THIRD,66,GENERAL,PHCPP,Brick,1603233,2872,28.99,0.37,616,PHANI BHUSAN CHOUDHURY,CPI,145581,503716,44072,FALSE,2019
Karnataka,Puri,RAMASHANKAR RAJBHAR_RAG,FEMALE,35,BL,TMNK,Ear rings,676408,2115,0.23,0.08,808,PATEL UMESHBHAI BABUBHAI,SAD,658915,429031,234927,FALSE,2024
Nagaland,PERAMBALUR,N DASARADHA RAMI REDDY_IKN,FEMALE,66,SC,BHJJP,Dustbin,1015032,651,0.38,0.18,228,THARANIVENTHAN M S,MDMK,860113,366637,169803,FALSE,2019
Goa,Attingal,SHAHNAWAZKHAN SULTANKHAN PATHAN_ZYO,MALE,47,BL,PRVPOI,Colour tray & brush,1127054,930,0.07,0.05,835,SHATRUGHAN PRASAD SINHA,INC,571161,414380,91544,FALSE,2019
West Bengal,Rajmahal,MANDAR SINGH_TOM,FEMALE,61,GENERAL,BHUDRP,Tyres,1374127,5824,21.94,0.3,521636,ROBERT BRUCE C,RJD,633514,512069,260406,FALSE,2009
Rajasthan,Etawah,DEVABHAI MITHABHAI GOHIL_UCY,FEMALE,38,ST,DaP,Lunch box,1081878,1114,0.17,0.19,3621,MANOJ KUMAR,BHRTADVSIP,567127,531120,81480,FALSE,2009
Lakshadweep,Hoshiarpur,BOMMALA VIJAY KUMAR_WYU,MALE,46,ST,RBS,Tooth brush,927696,2912,0.54,0.13,595868,MUKESH RAJPUT,SHS,809882,169159,209144,TRUE,2014
Tripura,Hardoi,DR. HEMANT PARMAR_SJG,MALE,48,GENERAL,NWLBRP,Plate containing food,1410776,5585,0.46,0.11,11020,RAJESH RANJAN ALIAS PAPPU YADAV,AAAP,663657,547140,88287,FALSE,2024
Chhattisgarh,Darbhanga,TIPUSULATAN SIKANDAR PATAVEGAR_VEY,THIRD,47,BL,PAP,Chimney,948256,8275,0.42,0.21,91221,SATISH KUMAR GAUTAM,SHS,661981,299082,487029,FALSE,2004
Meghalaya,Gandhinagar,SANGALA FLORY_FXU,MALE,42,ST,KMSP,Ink pot & pen,1151015,2689,0.51,0.05,10488,Sasikanth Senthil,INC,488995,614379,212231,FALSE,2014
Uttar Pradesh,Agra,NARENDRA MALIKA_RMG,MALE,69,GENERAL,CCP,Brick,1172533,750496,0.13,0.01,726,JYOTSNA CHARANDAS MAHANT,NCP,945761,452596,377014,FALSE,2024
Meghalaya,Agra,TILAK RAM MARKAM_ANS,THIRD,38,SC,INDPPLSADH,Syringe,1345727,5219,0.02,0.12,523422,RADHESHYAM RATHIYA,JD(U),600146,615655,172914,FALSE,2024
Dadra & Nagar Haveli and Daman & Diu,RAMANATHAPURAM,NAGARAJAPPA_DMG,THIRD,49,SC,YSEP,Conch,1034154,998,0.08,0.23,719,SANTOSH PANDEY,UPPL,450937,226328,42649,FALSE,2004
Goa,Jajpur,INDERJEET KAMBOJ_IIY,FEMALE,28,GENERAL,SP,Spade & stoker,1218971,141,0.06,2.88,285,PIYUSH GOYAL,UPPL,670966,558203,3242,FALSE,2014
Goa,Buxar,VIVEK THAKUR_LPX,FEMALE,56,ST,nafp,Immersion rod,964351,10674,0.78,0.61,9327,BABU SINGH KUSHWAHA,CPI(M),658914,423068,27862,FALSE,2019
Mizoram,Balasore,KAMLESH KUMAR GOUR_DOF,FEMALE,72,SC,JHNDCGP,Pears,1011759,1395,0.57,0.08,971,RADHESHYAM RATHIYA,TDP,534906,560379,219334,FALSE,2004
Andhra Pradesh,THANJAVUR,HITENDRA SHAHARE (BABA)_EHK,MALE,53,BL,SZPB,Binoculars,1151720,1139,0.04,0.12,7964,ARVIND GANPAT SAWANT,HAMS,521836,544220,220959,FALSE,2009
Haryana,Baramati,BINOD MALLICK_CQP,MALE,40,SC,JRVP,Mike,1241169,1960,49.31,2.31,340814,UMMEDA RAM BENIWAL,TDP,705538,685673,145456,FALSE,2004
Himachal Pradesh,Tamluk,SAIYAD KADARI MOHAMMAD SABIR ANVAR HUSAIN_CBG,THIRD,36,BL,BJKD,Coconut farm,1275107,2336,6.75,0.07,762069,JASWANTSINH SUMANBHAI BHABHOR,BHRTADVSIP,570424,249902,220339,FALSE,2009
Tamil Nadu,Nagina,MITESHBHAI THAKORBHAI PADHIYAR_NHT,FEMALE,53,ST,IUC,Almirah,1248747,4306,29.63,0.02,3115,B.Y.RAGHAVENDRA,SHSUBT,652321,599558,77229,FALSE,2004
Himachal Pradesh,SAGAR,KALAPPA YACHRAPPA BADIGER VISHWAKARMA_HEP,THIRD,53,BL,WPOI,Lighter,1221941,17288,0.13,41.54,216657,BHOJRAJ NAG,SP,1050351,526899,123038,FALSE,2019
Ladakh,Bhadohi,KAMBLE MILIND_PCG,THIRD,36,BL,SJSMP,Cot,1049273,1073,0.04,0.05,462603,JAGADISH CHANDRA BARMA BASUNIA,ZPM,548682,147991,60000,FALSE,2024
NCT OF Delhi,THENI,BANSHIDHAR_XCW,THIRD,43,BL,APTADMK,Switchboard,966352,635,0.03,3.5,438,BALABHADRA MAJHI,RLTP,404430,231545,98675,FALSE,2009
NCT OF Delhi,Rajampet,MUNESH NAGAR_IOT,THIRD,45,GENERAL,BRSBD,Nagrik,1370336,219558,0.05,0.05,168,TAPIR GAO,KEC,499464,214880,50199,FALSE,2019
Kerala,KARAULI-DHOLPUR,MOHITE-PATIL DHAIRYASHEEL RAJSINH_NAI,THIRD,36,BL,DMSK,Tennis racket & ball,1055989,13674,0.2,0.32,5116,BALWANT BASWANT WANKHADE,BJP,897043,423068,124373,FALSE,2024
Maharashtra,Jaynagar,BABULAL_JBK,MALE,60,SC,IMP,Chappals,1389995,758,0.02,0.15,1818,SAJDA AHMED,JKN,719927,409542,710930,FALSE,2009
Rajasthan,Ghosi,SUKHLAL VERMA RATNESH_YHN,MALE,73,BL,AADMPRVTNP,Scissors,1431588,9486,0.6,43.1,503,THARANIVENTHAN M S,SKM,712660,543709,32771,FALSE,2004
Bihar,GURGAON,BOMMALI KANTA RAO_ERG,FEMALE,27,SC,NBPP,Noodles bowl,1377691,378,2.05,0.93,620093,BHAGIRATH CHOUDHARY,LJPRV,713461,511026,49036,FALSE,2009
Odisha,Keonjhar,JAI SINGH_BKZ,MALE,51,BL,BMJP,Plastering trowel,1394157,7314,0.77,0.26,87686,ASHOK KUMAR RAWAT,ADAL,454696,506247,10846,FALSE,2019
Himachal Pradesh,KANGRA,DEVATADEEN GAUTAM_COT,FEMALE,28,SC,KJD,Stethoscope,1473728,1561,0.05,0.1,1493,SANJNA JATAV,JnP,691481,449667,24396,FALSE,2004
Nagaland,Mumbai North,DASWINDER KAUR_OCG,FEMALE,67,ST,MNDP,Table,1098801,734231,0.07,0.49,1373,KARTI P CHIDAMBARAM,DMK,633059,466392,100053,FALSE,2019
Madhya Pradesh,Sambhal,ARVIND KUMAR_MCE,FEMALE,36,ST,CSBGP,Dolli,1269265,2325,0.07,0.18,1624,ROBERT BRUCE C,CPI,596955,677397,150302,FALSE,2019
Andaman & Nicobar Islands,KANCHEEPURAM,PARTAP SINGH RANA_VPM,FEMALE,33,BL,ManKP,Bricks,1254043,725534,0.07,0.04,1568,GAJENDRA SINGH PATEL,SP,633059,290683,154964,FALSE,2024
Odisha,Amethi,SANGAM LAL GUPTA_FEL,MALE,67,ST,PRVPOI,Tongs,1279236,17008,34.54,0.03,739,ANITA NAGARSINGH CHOUHAN,SP,471631,425568,150302,FALSE,2019
Andaman & Nicobar Islands,Jaunpur,RAMESH CHAND SARTHI_ABX,FEMALE,31,ST,DJP,Diesel pump,1112068,1347,0.04,0.16,799,DILESHWAR KAMAIT,VCK,664819,372032,39139,FALSE,2004
Odisha,Jorhat,KONDOJU MOHAN_AFN,MALE,52,BL,JHP,Box,1089696,1535,0.03,0.18,471631,PRADEEP KUMAR SINGH,NCP,642292,397812,146089,TRUE,2004
Mizoram,Nalgonda,SATHISHKUMAR. S_HWO,MALE,33,GENERAL,ABMP,Sofa,1302783,5750,0.07,0.29,13379,PARIMAL SUKLABAIDYA,IND,561589,477367,406426,FALSE,2014
Dadra & Nagar Haveli and Daman & Diu,KANCHEEPURAM,AABDUSA SATTAR SEKH_XOZ,FEMALE,58,ST,HINDSMJP,Triangle,1391130,4944,0.31,0.15,356,SUPRIYA SULE,RLD,683950,366341,97324,FALSE,2014
Manipur,Inner Manipur,NEEL KUMAR_BPX,THIRD,33,GENERAL,AKNDBRTSMR,Refrigerator,1060418,5736,1,0.71,900,DR BYREDDY SHABARI,CPI(ML)(L),526271,341047,6399,FALSE,2009
Uttarakhand,Jalgaon,SARBANANDA SONOWAL_LYL,MALE,34,ST,BHRTPNCLP,Broom,1237613,4700,0.02,0.08,8706,SUNIL KUMAR,AAAP,1050351,423068,220339,FALSE,2004
Assam,Ponnani,CHANDRAHAS CHAUPAL_SOS,THIRD,56,BL,AMM,Harmonium,1254778,209404,0.09,0.46,1307,BHUPENDER YADAV,AAAP,616729,322538,37508,FALSE,2014
Meghalaya,Gandhinagar,RODASH GUPTA_DII,FEMALE,29,ST,NBNGPLPP,Frying pan,1356358,1905,0.13,0.23,695,DUSHYANT SINGH,BHRTADVSIP,857984,426425,209409,FALSE,2009
Mizoram,Panchmahal,POONAM RANI_TFF,THIRD,39,GENERAL,VRA,Switchboard,1436016,7220,0.27,0.35,499,BAPI HALDAR,INC,653808,616262,268782,FALSE,2019
Odisha,JAIPUR,DR. PIYUSH K. SAXENA_LZW,THIRD,46,ST,EKSP,Brush,945860,1678,0.07,0.16,1556,MANNA LAL RAWAT,IUML,520231,485080,169114,FALSE,2014
Jharkhand,COIMBATORE,CHHEDI MAJDOOR_FEN,FEMALE,40,BL,RKSYPP,Matchbox,1271490,9082,17.06,0.09,927,JAI PRAKASH,SHS,770362,550033,245902,FALSE,2009
Madhya Pradesh,Kaushambi,JYOTI GULEDGUDDA_RUX,MALE,53,SC,SLDP,Chain,1083541,6761,0.47,54.24,857,CHANDUBHAI CHHAGANBHAI SHIHORA,JMM,404560,606965,28929,FALSE,2004
Odisha,BHIND,ANUPAM KUMAR TRIPATHI_PUC,MALE,37,GENERAL,TLGNARJYS,Lion,1035044,1015,0.23,0.06,7696,MURASOLI S,ADAL,661981,342938,29143,FALSE,2019
Uttarakhand,Bellary,POCHA BRAHMANANDA REDDY_WLN,FEMALE,31,BL,SHSUBT,Bat,1422157,850,0.08,0.06,637,KAMLESH JANGDE,SHS,580421,364571,175993,FALSE,2019
Chandigarh,Jamui,DAVINDER KUMAR SAROYA_TXG,FEMALE,38,SC,RSSCMJP,CCTV Camera,1367572,2737,0.11,0.98,1506,RAO RAJENDRA SINGH,RSP,413848,301504,162001,FALSE,2009
Chandigarh,Mahesana,MD NAZIR_FQR,FEMALE,41,ST,JHP,Safety pin,1460563,373724,0.24,0.05,420,SUKANTA KUMAR PANIGRAHI,IND,701894,388474,37380,FALSE,2014
Jammu and Kashmir,Barpeta,BHANU CHANDAR KURUVELLA_RQP,FEMALE,42,GENERAL,INL,Window,902753,26010,0.12,0.03,4143,JOBA MAJHI,YSRCP,894312,214102,821408,FALSE,2009
Manipur,Malkajgiri,ARUNIMA PANDEY_NIU,FEMALE,74,SC,BHRTPRJAIK,CCTV Camera,1151720,11082,5.85,0.05,885,JAGDAMBIKA PAL,SKM,794154,374245,41510,FALSE,2019
Odisha,Bhongir,CHAUDHARY SAULAT ALI_BJB,FEMALE,52,BL,PAP,Chakki,1170701,6100,3.21,0.09,412338,ANNPURNA DEVI,IUML,763195,617154,59808,FALSE,2004
Arunachal Pradesh,ERODE,GHAZI SAADUDDIN ZAHEER AHMED_UCJ,THIRD,30,ST,NDPP,Bangles,887948,5181,0.04,44.12,492,SUKHDEO BHAGAT,SKM,518802,414380,379761,FALSE,2009
Dadra & Nagar Haveli and Daman & Diu,BHOPAL,BHARAT BASNETT_GXL,FEMALE,41,ST,BhBSP,Ink pot & pen,1420227,4243,0.15,0.41,248,VE. VAITHILINGAM,NCP,472481,602640,179907,FALSE,2019
Haryana,JAIPUR,ALLIMUTHU. M_OGU,THIRD,42,GENERAL,APNDLK,Wallet,1048604,4616,0.35,45.76,494960,SRIBHARAT MATHUKUMILI,HAMS,516628,460244,124373,FALSE,2009
Uttar Pradesh,Porbandar,MITESHBHAI THAKORBHAI PADHIYAR_VHG,THIRD,36,GENERAL,KNBHJSWP,Man blowing turha,1401721,1059,1.4,61.28,9788,DAGGUMALLA PRASADA RAO,INC,726174,517205,63381,FALSE,2024
Odisha,VIDISHA,SANUAR ALI_APL,MALE,49,ST,BRM,Ladder,1592011,2706,1.02,0.13,1750,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,BJP,653808,326756,21816,FALSE,2019
Chhattisgarh,Koppal,SUNITA VERMA_FNW,MALE,33,ST,SPSTWDJAP,Black board,1526081,262,40.54,0.06,1430,THARANIVENTHAN M S,ADAL,701131,459409,40301,FALSE,2014
Tamil Nadu,Balurghat,PRABHU RAM_VOM,THIRD,58,BL,NBEP,Man blowing turha,1561188,198823,0.07,0.22,2410,JASWANTSINH SUMANBHAI BHABHOR,AITC,672781,547140,197650,FALSE,2009
Karnataka,KORBA,SURESH CHANDRA_KZH,FEMALE,53,SC,RJSNP,Carpet,811432,821,0.21,0.19,4848,VISHAL (DADA) PRAKASHBAPU PATIL,RJD,542213,453906,58795,FALSE,2014
Sikkim,Ludhiana,G RAMKUMAR_ERY,MALE,54,BL,BHYUJEP,Carpet,1304308,595240,0.02,0.14,329,DR.KALANIDHI VEERASWAMY,LJPRV,683950,264216,73693,FALSE,2014
Rajasthan,Muzaffarnagar,BAJUN HANSDA_RGU,MALE,48,BL,AHNP,Coat,1064581,120,48.52,0.36,8946,SHASHI THAROOR,CPI(ML)(L),572395,388094,55711,FALSE,2014
Haryana,Eluru,DILIP GHOSH_PYP,FEMALE,63,ST,KPPR,Calculator,1327130,2007,0.02,0.09,8389,DR RAJEEV BHARDWAJ,KEC,322224,325773,39139,FALSE,2024
Nagaland,Osmanabad,KETHA SREENU_OST,FEMALE,55,SC,RRP,Tube light,1473728,7429,3.12,50.83,5139,GODAM NAGESH,IUML,644844,226328,63754,FALSE,2014
Chandigarh,Murshidabad,SATNAM BHAZIGAR_XVE,MALE,42,BL,NSBHP,Dumbbells,1018685,406567,0.25,0.02,14939,ANGOMCHA BIMOL AKOIJAM,ADAL,563216,452596,710930,FALSE,2019
Mizoram,Begusarai,DR. KAILASH NIVRUTTI JADHAV_BRI,THIRD,63,GENERAL,BSKRP,Dumbbells,1147607,257514,0.06,0.04,939,DULU MAHATO,BHRTADVSIP,476612,449315,103846,FALSE,2024
Ladakh,Bhongir,LAXMI NARAYAN KATARE_RMP,FEMALE,35,BL,PRVPOI,Lion,1228602,529,0.22,0.05,12525,S JAGATHRATCHAKAN,JD(S),448514,522461,238008,FALSE,2004
Odisha,BHIND,QAMRUL HAQUE_FKV,MALE,69,ST,JD(S),Pen stand,1066171,2268,3.89,0.03,296,JOBA MAJHI,AJSUP,584728,453034,244689,FALSE,2019
Nagaland,ANANTNAG-RAJOURI,ASHOK PASWAN ADVOCATE_BGF,THIRD,62,BL,AIPDP,Wheel barrow,1139422,1606,0.65,49.74,434,B K PARTHASARATHI,JnP,607897,449315,51356,FALSE,2004
Arunachal Pradesh,Mirzapur,SARAVANAN K.K._UGR,MALE,43,ST,ADRSP,Chakki,1015216,5474,0.22,25.3,703,SHASHANK MANI,NCPSP,692010,580035,131364,FALSE,2024
